Taxa,G006,G007,G008,G009,G010,G011,G012,G013,G019,G020,G021,G022,G023,G024,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G139,G164,G165,G169,G170
Scalloped hammerhead shark,1,1,2,1,2,0,4,0,0,4,0,1,8,1,4,3,10,1,3,3,4,6,1,5,0,0,0,0,0
Yellowtail damselfish,0,0,0,3,21835,0,1,3,0,8849,7,0,2,0,57697,27,2,1,5,2,0,0,2,0,0,0,0,0,0
Thoburn's mullet,4,6,5,3,5,0,116,0,2544,1,1,10,1,0,87,138,175,0,3,6,119,4,2,735,1615,17,0,8,0
Flathead grey mullet,0,337,0,0,0,0,55,0,0,0,0,0,414,0,77,0,177,0,0,70,0,110,33,0,0,1113,124,1769,0
Jacks,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
Lutke's halfbeak,10,6,2,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Galapagos ringtail damselfish,0,0,0,0,0,1,9,9158,12,10,18649,320,16,2,3,1,5,3,2,4,4,71080,11,5,0,0,0,0,0
Bullseye puffer,0,0,0,0,0,0,3,0,1,37167,7,1,2,3,0,0,0,0,0,130,0,2,0,0,0,0,0,0,2
Sardines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13649,0,0,0,0,0,0,0,0,0
Mackerel tuna,0,76,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueruvian grunt,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewel eel,0,94,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0
Snappers,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcaific mottled shore crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf brittle star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0
Sergeant-majors,22627,1,6,25328,3,1,7,3,2,6,14466,7,0,1,0,86,0,0,4,0,241,2,2,2,0,0,0,0,0
Ray-finned fish,0,56,0,0,0,0,0,0,0,0,0,94,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0