Taxa,G058,G059,G060,G061,G079,G080,G081,G089,G091,G098,G140,G141,G142,G144,G146,G152,G155,G157,G172,G174,G175,G176,G183
Requium sharks,4,24,24,32,11,14,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowtail damselfish,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoburn's mullet,1,5,0,6,32872,4,484,0,0,0,0,1,0,0,8435,7184,23966,55627,1618,11,9,12,5
Flathead grey mullet,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,3215,37775,0,1,0,0,0
Jacks,3,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galapagos ringtail damselfish,1,0,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullseye puffer,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3378,23,0,0,0,0
Jewel eel,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0
Snappers,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0
Shame faced crab,0,0,0,0,0,0,1120,0,0,0,0,49847,0,0,0,0,0,0,0,0,0,0,0
Mantis shrimp,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,682,0,0,0
Swimming crab,0,0,0,0,0,0,0,19142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barred grass shrimp,0,0,0,0,0,0,0,0,0,0,0,0,6529,0,0,0,0,0,0,0,0,0,0
Cassiope pebble crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0
Sergeant-majors,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0
Ray-finned fish,0,0,0,0,0,1,0,0,1,0,12,1,1,0,0,0,0,0,0,0,0,0,0