,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G129,G129,sample,NA,3137,1,TRUE,3137,1,Baleado,NA,NA,NA,NA,NA,3137,1,G129,6/14/22,2022,9:56,Isabela,Blacktip,Carcharhinus limbatus,697,1498836,NA,NA,M,NA,NA,NA,525,630,,2.27,Y,Y,NA,NA,32.43,Outgoing,21.12,Gill Net,,merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2,S129,,Light,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/6/23,NA,NA,NA,NA,NA,NA
G134,G134,sample,NA,9211,1,TRUE,9211,1,El Mulle de Balleno,NA,NA,NA,NA,NA,9211,1,G134,6/15/22,2022,,Isabela,Blacktip,Carcharhinus limbatus,691,1501026,NA,NA,M,NA,NA,NA,530,630,,2.04,Y,N,NA,NA,33.1,Incoming,22.59,Gill Net,,merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5,S134,Line Parasite,Medium,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G135,G135,sample,NA,62053,2,TRUE,62053,2,El Mulle de Balleno,NA,NA,NA,NA,NA,62053,2,G135,6/15/22,2022,,Isabela,Blacktip,Carcharhinus limbatus,690,1500813,NA,NA,M,NA,NA,NA,510,610,,2.04,Y,Y,NA,NA,33.1,Incoming,22.59,Gill Net,,merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5,S135,,Light,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G136,G136,sample,NA,3160,2,TRUE,3160,2,El Mulle de Balleno,NA,NA,NA,NA,NA,3160,2,G136,6/15/22,2022,,Isabela,Blacktip,Carcharhinus limbatus,689,1482339,NA,NA,M,NA,NA,NA,570,670,,2.04,Y,Y,NA,NA,33.1,Incoming,22.59,Gill Net,,merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5,S136,,Light,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G137,G137,sample,NA,14844,6,TRUE,14844,6,El Mulle de Balleno,NA,NA,NA,NA,NA,14844,6,G137,6/15/22,2022,8:10,Isabela,Blacktip,Carcharhinus limbatus,688,1482339,NA,NA,M,NA,NA,NA,520,630,,2.27,Y,N,NA,NA,33.1,Incoming,22.59,Gill Net,,merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5,S137,,Light,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G138,G138,sample,NA,16313,3,TRUE,16313,3,El Mulle de Balleno,NA,NA,NA,NA,NA,16313,3,G138,6/15/22,2022,8:21,Isabela,Blacktip,Carcharhinus limbatus,687,1503657,NA,NA,M,NA,NA,NA,530,630,,2.27,Y,Y,NA,NA,33.1,Incoming,22.59,Gill Net,,merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5,S138,,Medium,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G139,G139,sample,NA,2072,4,TRUE,1945,3,Cartago Bay,NA,NA,NA,NA,NA,1945,3,G139,6/15/22,2022,15:05,Isabela,Blacktip,Carcharhinus limbatus,686,,NA,NA,F,NA,NA,NA,560,690,,2.72,Y,Y,NA,NA,35.15,Outgoing,24.11,Gill Net,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S139,,Light,7/26/22,1:21 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G140,G140,sample,NA,50827,3,TRUE,50810,2,Cartago Bay,NA,NA,NA,NA,NA,50810,2,G140,6/15/22,2022,15:54,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,,NA,NA,M,NA,NA,NA,400,510,Neonate,0.76,Y,Y,NA,NA,35.15,Outgoing,24.11,Hooks,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S140,"Baited hooks with mullet, caught right next to the mangroves",Medium,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G141,G141,sample,NA,897,3,TRUE,897,3,Cartago Bay,49847,1,TRUE,49847,1,50744,4,G141,6/15/22,2022,16:10,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,,NA,NA,M,NA,NA,NA,400,510,Neonate,0.76,Y,Y,NA,NA,35.15,Outgoing,24.11,Hooks,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S141,"Baited hooks with mullet, caught right next to the mangroves",Alot,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G142,G142,sample,NA,2177,4,TRUE,2143,2,Cartago Bay,6542,2,TRUE,6542,2,8685,4,G142,6/15/22,2022,16:25,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,,NA,NA,M,NA,NA,NA,390,490,Neonate,0.652,Y,Y,NA,NA,35.15,Outgoing,24.11,Hooks,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S142,"Baited hooks with mullet, caught right next to the mangroves",Medium,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G143,G143,sample,NA,498,1,TRUE,498,1,Cartago Bay,NA,NA,NA,NA,NA,498,1,G143,6/15/22,2022,16:36,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,,NA,NA,F,NA,NA,NA,420,550,,0.76,Y,Y,NA,NA,35.15,Outgoing,24.11,Hooks,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S143,"Baited hooks with mullet, caught right next to the mangroves",Alot,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G144,G144,sample,NA,48224,2,TRUE,48224,2,Cartago Bay,NA,NA,NA,NA,NA,48224,2,G144,6/15/22,2022,16:55,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,,NA,NA,F,NA,NA,NA,400,500,Neonate,0.76,Y,Y,NA,NA,35.15,Outgoing,24.11,Hooks,,merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2,S144,"Baited hooks with mullet, caught right next to the mangroves",None,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G146,G146,sample,NA,16360,4,TRUE,16359,3,Puerto Grande,867,1,TRUE,0,0,16359,3,G146,6/30/22,2022,5:50,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F82,NA,NA,M,140,225,160,520,650,YOY,1.165,Y,Y,359,NA,29,Outgoing,21.855,Seine Net,GW83,merged_6/30/22_Puerto Grande_B1C1; merged_6/30/22_Puerto Grande_B2C3; merged_6/30/22_Puerto Grande_B2C4,S146,CTD was broken so salinity could be off,Alot,7/23/22,11:02,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G151,G151,sample,NA,658,1,TRUE,658,1,Puerto Grande,NA,NA,NA,NA,NA,658,1,G151,7/10/22,2022,7:07,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3C8.000057E31F,NA,NA,M,180,250,170,330,690,,1.1,Y,N,NA,NA,NA,,23.1,Gill Net,,merged_7/10/22_Puerto Grande_B1C11,S151,"Mark recapture project, Caught in the gill net during the mark recapture project; net was set towards the back corner mangroves away from the beach",Medium,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),,NA,NA,NA,NA,NA,NA
G152,G152,sample,NA,7206,3,TRUE,7206,3,Puerto Grande,NA,NA,NA,NA,NA,7206,3,G152,1/17/23,2023,17:45,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F84,NA,NA,M,145,160,NA,370,470,Neonate,0.585,Y,Y,NA,NA,NA,Outgoing,NA,Hooks,,,S152,"Big swell outside of the bay, water very murky",Medium,1/28/23,12:24 PM,N,NA,1/29/23,,,NA,NA,NA,NA,NA,NA
G153,G153,sample,NA,86661,4,TRUE,83577,1,Puerto Grande,NA,NA,NA,NA,NA,83577,1,G153,1/23/23,2023,17:10,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F7A,NA,NA,M,210,250,NA,540,680,,1.565,Y,N,NA,NA,NA,Incoming,NA,Hooks,1/23/23,merged,S153,Caught shark closer to the mangrove lagoon,a little,1/28/23,12:24 PM,N,NA,1/29/23,,,NA,NA,NA,NA,NA,NA
G154,G154,sample,NA,12473,1,TRUE,12473,1,Puerto Grande,NA,NA,NA,NA,NA,12473,1,G154,1/23/23,2023,18:07,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F73,NA,NA,F,220,320,NA,580,750,,1.965,Y,N,NA,NA,NA,Incoming,NA,Hooks,1/23/23,merged,S154,Caught shark closer to the mangrove lagoon,Medium (bloody),1/28/23,12:24 PM,N,NA,1/29/23,,,NA,NA,NA,NA,NA,NA
G155,G155,sample,NA,29047,6,TRUE,29045,5,Puerto Grande,NA,NA,NA,NA,NA,29045,5,G155,1/24/23,2023,16:20,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F26,NA,NA,F,135,155,NA,400,530,Neonate,0.575,Y,Y,NA,NA,NA,Incoming,NA,Hooks,1/24/23,merged,S155,,Medium,1/28/23,12:24 PM,N,NA,1/29/23,,,NA,NA,NA,NA,NA,NA
G156,G156,sample,NA,66775,1,TRUE,66775,1,Puerto Grande,NA,NA,NA,NA,NA,66775,1,G156,1/24/23,2023,16:30,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F38,NA,NA,F,180,205,NA,500,650,,1.165,Y,Y,NA,NA,NA,Incoming,NA,Hooks,1/24/23,merged,S156,,a little (bloody),1/28/23,12:24 PM,N,NA,1/29/23,,,NA,NA,NA,NA,NA,NA
G157,G157,sample,NA,96989,6,TRUE,96989,6,Cartago Bay,NA,NA,NA,NA,NA,96989,6,G157,2/22/23,2023,11:10,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F2D,NA,NA,F,NA,180,NA,370,530,Neonate,0.645,Y,Y,NA,NA,32.19,Incoming,29.55,Hooks,2/22/23,,S157,Semiopen umbilical scar,Alot (dark),3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G158,G158,sample,NA,91099,1,TRUE,91099,1,Cartago Bay,NA,NA,NA,NA,NA,91099,1,G158,2/22/23,2023,16:50,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F32,NA,NA,M,NA,160,NA,380,510,,0.545,Y,Y,NA,NA,32.34,,30.27,Hooks,2/22/23,,S158,Open umbilical scar,Light,3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G163,G163,sample,NA,912,1,TRUE,912,1,Cartago Bay,NA,NA,NA,NA,NA,912,1,G163,2/23/23,2023,16:25,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,260,NA,640,670,,NA,N,Y,NA,NA,32.13,Incoming,29.98,Hooks,2/23/23,merged,,Closed umbilical scar,Medium (yellow),3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G164,G164,sample,NA,7050,4,TRUE,7050,4,Cartago Bay,NA,NA,NA,NA,NA,7050,4,G164,2/23/23,2023,16:47,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,250,NA,550,680,,NA,N,Y,NA,NA,32.13,Incoming,29.98,Hooks,2/23/23,merged,,Closed umbilical scar,Medium (yellow),3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G165,G165,sample,NA,20991,3,TRUE,20967,2,Cartago Bay,NA,NA,NA,NA,NA,20967,2,G165,2/23/23,2023,17:04,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,250,NA,520,660,,NA,N,Y,NA,NA,32.13,Incoming,29.98,Hooks,2/23/23,merged,,Closed umbilical scar,Medium,3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G166,G166,sample,NA,2834,1,TRUE,2834,1,Cartago Bay,NA,NA,NA,NA,NA,2834,1,G166,2/23/23,2023,17:08,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,260,NA,510,660,,NA,N,Y,NA,NA,32.13,Incoming,29.98,Hooks,2/23/23,merged,,Closed umbilical scar,Medium (green),3/4/23,4:27 PM,N,NA,3/6/23,Accidentally added G160 to G166 so they only got 500ul of each not the second allocate,,NA,NA,NA,NA,NA,NA
G168,G168,sample,NA,28298,1,TRUE,28298,1,Cartago Bay,NA,NA,NA,NA,NA,28298,1,G168,2/24/23,2023,18:03,Isabela,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F69,NA,NA,F,NA,160,NA,390,520,,0.656,Y,Y,NA,NA,32.13,Incoming,29.78,Hooks,2/24/23,merged,S169,Closed umbilical scar,Light,3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G169,G169,sample,NA,7768,4,TRUE,7768,4,Cartago Bay,NA,NA,NA,NA,NA,7768,4,G169,2/24/23,2023,18:13,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,240,NA,470,600,,NA,N,Y,NA,NA,32.13,Incoming,29.78,Hooks,2/24/23,merged,,Closed umbilical scar,Alot (dark),3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G170,G170,sample,NA,3207,2,TRUE,3207,2,Cartago Bay,NA,NA,NA,NA,NA,3207,2,G170,2/24/23,2023,18:14,Isabela,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,280,NA,510,650,,NA,N,,NA,NA,32.13,Incoming,29.78,Hooks,2/24/23,merged,,,Alot (dark),3/4/23,4:27 PM,N,NA,3/6/23,,,NA,NA,NA,NA,NA,NA
G172,G172,sample,NA,1949,5,TRUE,1880,4,Puerto Grande,NA,NA,NA,NA,NA,1880,4,G172,3/12/23,2023,5:56,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F2F,NA,NA,M,NA,170,NA,400,530,Neonate,0.545,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S172,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Closed umbilical scar",Medium (dark),3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G173,G173,sample,NA,194,2,TRUE,168,1,Puerto Grande,NA,NA,NA,NA,NA,168,1,G173,3/12/23,2023,6:02,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F7D,NA,NA,M,NA,190,NA,390,510,,0.645,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S173,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Closed umbilical scar",Medium,3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G174,G174,sample,NA,149,3,TRUE,149,3,Puerto Grande,866,2,TRUE,866,2,1015,5,G174,3/12/23,2023,6:09,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F4D,NA,NA,M,NA,190,NA,410,530,Neonate,0.695,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S174,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Heart rate 70, Closed umbilical scar",Alot,3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G175,G175,sample,NA,2772,4,TRUE,2772,4,Puerto Grande,NA,NA,NA,NA,NA,2772,4,G175,3/12/23,2023,,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F7E,NA,NA,M,NA,180,NA,420,550,Neonate,0.695,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S175,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Heart rate 50, Closed umbilical scar",Alot,3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G176,G176,sample,NA,330,3,TRUE,294,2,Puerto Grande,NA,NA,NA,NA,NA,294,2,G176,3/12/23,2023,7:43,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F37,NA,NA,F,NA,170,NA,430,560,YOY,0.655,N,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S176,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Heart rate 45, Closed umbilical scar",Medium (dark),3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G177,G177,sample,NA,142,2,TRUE,31,1,Puerto Grande,NA,NA,NA,NA,NA,31,1,G177,3/12/23,2023,7:50,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F83,NA,NA,M,NA,170,NA,410,540,,0.605,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S177,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Heart rate 50, Closed umbilical scar",Alot,3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G178,G178,sample,NA,1631,2,TRUE,1629,1,Puerto Grande,NA,NA,NA,NA,NA,1629,1,G178,3/12/23,2023,7:55,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F66,NA,NA,M,NA,170,NA,380,500,,0.525,Y,Y,NA,NA,34.02,Outgoing,26.52,Seine Net,3/12/23,,S178,"Took these samples with the vet students, have associated health info, some of the blood samples potentially have heparin in them, Heart rate 60, Closed umbilical scar",Medium,3/23/23,10:00 AM,,NA,,,,NA,NA,NA,NA,NA,NA
G180,G180,sample,NA,12204,1,TRUE,12204,1,Puerto Grande,NA,NA,NA,NA,NA,12204,1,G180,6/3/23,2023,16:09,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F51,NA,NA,M,NA,250,NA,570,730,,1.71,Y,N,NA,NA,34.74,Outgoing,27.43,Gill Net,6/3/23,,S180,Surgically implanted acoustic tag (1D-1353/1549716),Light,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G182,G182,sample,NA,79274,1,TRUE,79274,1,Puerto Grande,NA,NA,NA,NA,NA,79274,1,G182,6/5/23,2023,17:24,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F6D,NA,NA,M,NA,180,NA,370,480,,0.47,Y,Y,NA,NA,34.87,Outgoing,27.28,Hooks,6/5/23,,S182,Partially open umbilical scar,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G183,G183,sample,NA,9697,2,TRUE,9697,2,Puerto Grande,NA,NA,NA,NA,NA,9697,2,G183,6/5/23,2023,17:27,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F73,NA,NA,M,NA,170,NA,340,450,Neonate,0.365,Y,Y,NA,NA,34.87,Outgoing,27.28,Hooks,6/5/23,,S183,Partially open umbilical scar,Alot,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G184,G184,sample,NA,46470,2,TRUE,46464,1,Puerto Grande,NA,NA,NA,NA,NA,46464,1,G184,6/23/23,2023,16:55,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F7C,NA,NA,F,NA,280,NA,600,790,,1.755,N,N,NA,NA,34.73,Incoming,26.31,Hooks,6/23/23,,,Hooked in cudal fin,Medium (bloody),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G185,G185,sample,NA,4728,1,TRUE,4728,1,Puerto Grande,NA,NA,NA,NA,NA,4728,1,G185,6/29/23,2023,16:47,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F64,NA,NA,F,NA,195,NA,460,600,,0.925,N,N,NA,NA,35.09,,26.9,Hooks,,,,Acoustic tagged and tracked for 32 hours,Alot (bloody),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G186,G186,sample,NA,19043,3,TRUE,19043,3,Rosa Blanca 2,NA,NA,NA,NA,NA,19043,3,G186,7/8/23,2023,12:25,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,310,NA,620,810,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Light,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G187,G187,sample,NA,3346,5,TRUE,561,4,Rosa Blanca 2,NA,NA,NA,NA,NA,561,4,G187,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,280,NA,610,770,,NA,Y,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G188,G188,sample,NA,17394,3,TRUE,17394,3,Rosa Blanca 2,NA,NA,NA,NA,NA,17394,3,G188,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,300,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Alot (dark),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G189,G189,sample,NA,18909,2,TRUE,18909,2,Rosa Blanca 2,NA,NA,NA,NA,NA,18909,2,G189,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,270,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Light,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G190,G190,sample,NA,9080,1,TRUE,9080,1,Rosa Blanca 2,NA,NA,NA,NA,NA,9080,1,G190,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,280,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G191,G191,sample,NA,934,2,TRUE,934,2,Rosa Blanca 2,NA,NA,NA,NA,NA,934,2,G191,7/8/23,2023,12:40,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,280,NA,570,730,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Alot (dark),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA